# OF ORDERS,CATEGORY,DISH,COMPONENT,INGREDIENT,QUANTITY PER SERVING,UNIT,TOTAL Q FOR THIS WEEK,IN STOCK,DIFF,NEED TO SHOP?,Q,UNIT,WHERE TO SHOP (1ST CHOICE)
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,EVOO,0.25,TBSP,5.00,999,-939.4,NO,939.4,TBSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,ONION,0.13,ONION,2.50,10,32.90,YES,32.9,ONION,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CARROT,0.13,CUP,2.50,999,-989.9,NO,989.9,CUP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,GARLIC,0.38,CLOVE,7.50,999,-912.9,NO,912.9,CLOVE,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,GINGER,0.19,INCH,3.75,999,-972.25,NO,972.25,INCH,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CHILI PEPPER,0.13,CHILI PEPPER,2.50,999,-996.5,NO,996.5,CHILI PEPPER,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,TOMATO SAUCE,1.75,OZ,35.00,0,35.00,YES,35,OZ,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,VEG BROTH,0.50,CUP,10.00,999,-935,NO,935,CUP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,POTATO RUSSET,0.38,POTATO RUSSET,7.50,10,27.5,YES,27.5,POTATO RUSSET,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,POTATO SWEET,0.38,POTATO SWEET,7.50,0,10.90,YES,10.9,POTATO SWEET,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,LIME ZEST,0.25,TSP,5.00,5,0,NO,0,TSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,LIME JUICE,0.25,TBSP,5.00,999,-956.5,NO,956.5,TBSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,COCONUT MILK,1.75,OZ,35.00,999,-904,NO,904,OZ,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CILANTRO,0.03,CUP,0.63,4,-0.375,NO,0.375,CUP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,EVOO,0.33,TBSP,6.60,999,-939.4,NO,939.4,TBSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,ONION,0.27,ONION,5.40,10,32.90,YES,32.9,ONION,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,GARLIC,0.33,CLOVE,6.60,999,-912.9,NO,912.9,CLOVE,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,CUMIN,0.17,TSP,3.40,999,-963.1,NO,963.1,TSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,CHILI POWDER,0.08,CHILI POWDER,1.60,999,-992.4,NO,992.4,CHILI POWDER,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,DICED TOMATO,2.50,OZ,50.00,999,-949,NO,949,OZ,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,VEG BROTH,1.00,CUPS,20.00,999,-935,NO,935,CUPS,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,POTATO SWEET,0.17,POTATO SWEET,3.40,0,10.90,YES,10.9,POTATO SWEET,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,CARROT,0.33,CARROT,6.60,999,-989.9,NO,989.9,CARROT,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,LENTILS RED,1.33,OZ,26.60,999,-972.4,NO,972.4,OZ,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,SALT,0.01,TSP,0.20,999,-965.25,NO,965.25,TSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,BLACK PEPPER,0.01,TSP,0.20,999,-987.595,NO,987.595,TSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,FRESH HERBS,0.04,CUP,0.80,0,0.80,YES,0.8,CUP,AMAZON
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,LEMON JUICE,0.25,TBSP,5.00,999,-983.375,NO,983.375,TBSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,SOUR CREAM/YOGURT,0.25,TBSP,5.00,0,5.00,YES,5,TBSP,AMAZON
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,FLAX POWDER,0.13,TBSP,1.88,999,-993.375,NO,993.375,TBSP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,FLOUR,0.13,CUP,1.95,999,-997.05,NO,997.05,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,OATS,0.09,CUP,1.35,999,-993.9,NO,993.9,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,BAKING POWDER,0.25,TSP,3.75,999,-994.3125,NO,994.3125,TSP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,VANILLA  EXTRACT,0.13,TSP,1.95,999,-995.175,NO,995.175,TSP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,MAPLE SYRUP,0.04,CUP,0.60,999,-975.9,NO,975.9,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,COCONUT OIL,0.04,CUP,0.60,999,-998.4,NO,998.4,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,MILK,0.03,CUP,0.45,999,-996.83125,NO,996.83125,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,PEACH,0.13,CUP,1.95,999,-993.3,NO,993.3,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,WHOLE WHEAT FLOUR,0.13,CUP,1.88,999,-997.125,NO,997.125,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,ROLLED OATS,0.09,CUP,1.41,999,-997.59375,NO,997.59375,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,MILK,0.03,CUP,0.47,999,-996.83125,NO,996.83125,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,PEACH,0.25,CUP,3.75,999,-993.3,NO,993.3,CUP,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,CRUMBLE TOPPING,BUTTER,16.67,GRAMS,250.05,999,-748.95,NO,748.95,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,CRUMBLE TOPPING,BROWN RICE FLOUR,16.67,GRAMS,250.05,999,-747.7,NO,747.7,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,CRUMBLE TOPPING,ALMONDS,16.67,GRAMS,250.05,999,-733.95,NO,733.95,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,CRUMBLE TOPPING,SUGAR,16.67,GRAMS,250.05,999,-742.575,NO,742.575,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,PLUM & APPLE ,PLUM,100.00,GRAMS,"1,500.00",0,"1,500.00",YES,1500,GRAMS,AMAZON
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,PLUM & APPLE ,APPLES,0.50,APPLES (GREEN),7.50,0,7.50,YES,7.5,APPLES (GREEN),RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,PLUM & APPLE ,BROWN SUGAR,6.67,GRAMS,100.05,999,-895.35,NO,895.35,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,PLUM & APPLE ,CINNAMON,0.17,TSP,2.55,999,-992.7,NO,992.7,TSP,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,FLAX EGG,0.25,FLAX EGG,3.75,999,-995.25,NO,995.25,FLAX EGG,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,PEANUT BUTTER,0.04,CUP,0.63,999,-998.375,NO,998.375,CUP,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,SUGAR,0.10,CUP,1.56,999,-742.575,NO,742.575,CUP,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,MILK,0.08,CUP,1.25,999,-996.83125,NO,996.83125,CUP,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,VANILLA  EXTRACT,0.08,TBSP,1.25,999,-995.175,NO,995.175,TBSP,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,BROWN RICE FLOUR,0.08,CUP,1.25,999,-747.7,NO,747.7,CUP,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,CACAO POWDER,0.06,CUP,0.83,999,-998.1666667,NO,998.1666667,CUP,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,BAKING POWDER,0.06,TSP,0.94,999,-994.3125,NO,994.3125,TSP,RD
15,DESSERT,CHEESECAKE BROWNIES,BROWNIES,SALT,0.04,TSP,0.63,999,-965.25,NO,965.25,TSP,RD
15,DESSERT,CHEESECAKE BROWNIES,CHEESECAKE,CREAM CHEESE,0.67,OZ,10.00,0,10.00,YES,10,OZ,RD
15,DESSERT,CHEESECAKE BROWNIES,CHEESECAKE,SUGAR,0.19,CUP,2.81,999,-742.575,NO,742.575,CUP,RD
15,DESSERT,CHEESECAKE BROWNIES,CHEESECAKE,CORNSTARCH,0.08,TBSP,1.25,999,-951.75,NO,951.75,TBSP,RD
15,DESSERT,CHEESECAKE BROWNIES,CHEESECAKE,VANILLA  EXTRACT,0.04,TBSP,0.63,999,-995.175,NO,995.175,TBSP,RD
15,DESSERT,CHEESECAKE BROWNIES,CHEESECAKE,LEMON JUICE,0.04,TBSP,0.63,999,-983.375,NO,983.375,TBSP,RD
15,DESSERT,CHEESECAKE BROWNIES,CHEESECAKE,LEMON ZEST,0.04,TSP,0.63,999,-998.375,NO,998.375,TSP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,CRISPY TOFU,TOFU,0.40,PACK,8.00,12,3.50,YES,3.5,PACK,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,CRISPY TOFU,EVOO,0.40,TBSP,8.00,999,-939.4,NO,939.4,TBSP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,CRISPY TOFU,CORNSTARCH,0.40,TBSP,8.00,999,-951.75,NO,951.75,TBSP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,VEG BROTH,0.20,CUP,4.00,999,-935,NO,935,CUP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,ORANGE JUICE,0.10,CUP,2.00,0,7.00,YES,7,CUP,RD
10,JUICE,VARIOUS JUICES,JUICE,AGAVE,1.00,TSP,10.00,999,-989.00,NO,989,TSP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,SUGAR,0.10,CUP,2.00,999,-742.575,NO,742.575,CUP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,RICE VINEGAR,0.07,CUP,1.32,999,-990.18,NO,990.18,CUP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,SOY SAUCE,0.05,CUP,1.00,999,-979.1,NO,979.1,CUP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,GARLIC,0.60,CLOVE,12.00,999,-912.9,NO,912.9,CLOVE,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,GINGER,0.40,INCH,8.00,999,-972.25,NO,972.25,INCH,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,CORNSTARCH,0.40,TBSP,8.00,999,-951.75,NO,951.75,TBSP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,ORANGE SAUCE,H20,0.05,CUP,1.00,999,-989.8,NO,989.8,CUP,RD
20,SIDE,ORANGE AND BASIL TOFU PUFFS,PUFF GARNISH,BASIL,0.60,TBSP,12.00,999,-987,NO,987,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,ALMONDS,1.00,TBSP,15.00,999,-733.95,NO,733.95,TBSP,RD
10,JUICE,VARIOUS JUICES,JUICE,APPLES (GREEN),0.50,APPLES (GREEN),5.00,0,5.00,YES,5,APPLES (GREEN),RD
10,JUICE,VARIOUS JUICES,JUICE,APPLES (RED),0.50,APPLES (RED),5.00,0,5.00,YES,5,APPLES (RED),RD
15,SALAD,VARIOUS SALADS,SALAD,ASPARAGUS,1.00,OZ,15.00,0,15.00,YES,15,OZ,RD
15,SALAD,VARIOUS SALADS,SALAD,AVOCADO,0.10,AVOCADO,1.50,5,11.50,YES,11.5,AVOCADO,RD
15,SALAD,VARIOUS SALADS,SALAD,BEETS,0.10,BEETS,1.50,4,-2.50,NO,2.5,BEETS,RD
15,SALAD,VARIOUS SALADS,SALAD,BELL PEPPER,0.10,BELL PEPPER,1.50,0,24.00,YES,24,BELL PEPPER,RD
15,SALAD,VARIOUS SALADS,SALAD,BLACK BEANS,1.00,TBSP,15.00,999,-774.00,NO,774,TBSP,RD
10,JUICE,VARIOUS JUICES,JUICE,BLUE SPIRULINA,1.00,TSP,10.00,999,-989.00,NO,989,TSP,RD
10,JUICE,VARIOUS JUICES,JUICE,BLUEBERRY,1.00,TBSP,10.00,999,-989.00,NO,989,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,CABBAGE (RED),0.50,CUP,7.50,0,7.50,YES,7.5,CUP,RD
15,SALAD,VARIOUS SALADS,SALAD,CARROTS,0.50,CUP,7.50,999,-986.50,NO,986.5,CUP,RD
10,JUICE,VARIOUS JUICES,JUICE,CARROTS,0.50,CUP,5.00,999,-986.50,NO,986.5,CUP,RD
15,SALAD,VARIOUS SALADS,SALAD,CELERY,0.25,STALK,3.75,0,3.75,YES,3.75,STALK,RD
3,SALAD,VARIOUS SALADS,SALAD,CHEESE (FETA),0.50,TBSP,1.50,999,-997.50,NO,997.5,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,CHEESE (PARMESAN),0.50,TBSP,7.50,999,-991.50,NO,991.5,TBSP,RD
10,JUICE,VARIOUS JUICES,JUICE,COFFEE,1.00,TBSP,10.00,999,-989.00,NO,989,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,CORN (GRILLED),1.00,TBSP,15.00,999,-984.00,NO,984,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,CRANBERRIES (DRIED),1.00,TBSP,15.00,999,-984.00,NO,984,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,CUCUMBERS,0.25,CUCUMBERS,3.75,1,5.25,YES,5.25,CUCUMBERS,RD
10,JUICE,VARIOUS JUICES,JUICE,CUCUMBERS,0.25,CUCUMBERS,2.50,1,5.25,YES,5.25,CUCUMBERS,RD
15,SALAD,VARIOUS SALADS,SALAD,GARBANZO BEANS,1.00,TBSP,15.00,999,-984.00,NO,984,TBSP,RD
10,JUICE,VARIOUS JUICES,JUICE,"GINGER (1"")",1.00,TBSP,10.00,999,-989.00,NO,989,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,KALE,1.00,TBSP,15.00,999,-984.00,NO,984,TBSP,RD
10,JUICE,VARIOUS JUICES,JUICE,LEMON JUICE,1.00,TBSP,10.00,999,-983.38,NO,983.375,TBSP,RD
10,JUICE,VARIOUS JUICES,JUICE,LEMONS,1.00,TBSP,10.00,999,-989.00,NO,989,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,MUSHROOMS (MARINATED),1.00,OZ,15.00,0,15.00,YES,15,OZ,RD
15,SALAD,VARIOUS SALADS,SALAD,OLIVES (KALAMATA),1.00,TBSP,15.00,999,-984.00,NO,984,TBSP,RD
10,JUICE,VARIOUS JUICES,JUICE,ORANGE JUICE,0.50,CUP,5.00,0,7.00,YES,7,CUP,RD
3,JUICE,VARIOUS JUICES,JUICE,PINEAPPLE,1.00,TBSP,3.00,999,-996.00,NO,996,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,PUMPKIN SEEDS,1.00,TBSP,15.00,999,-984.00,NO,984,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,RADISH,0.10,RADISH,1.50,6,-4.50,NO,4.5,RADISH,RD
15,SALAD,VARIOUS SALADS,SALAD,ROMAINE LETTUCE,0.33,ROMAINE LETTUCE,4.95,0,7.95,YES,7.95,ROMAINE LETTUCE,RD
15,SALAD,VARIOUS SALADS,SALAD,SPINACH,1.00,CUP,15.00,0,15.00,YES,15,CUP,RD
25,SALAD,VARIOUS SALADS,SALAD,SPRING MIX,1.00,CUP,25.00,0,25.00,YES,25,CUP,RD
15,SALAD,VARIOUS SALADS,SALAD,SUNFLOWER SEEDS,1.00,TBSP,15.00,999,-984.00,NO,984,TBSP,RD
15,SALAD,VARIOUS SALADS,SALAD,TOMATOES (CHERRY),0.10,PINT,1.50,0,1.50,YES,1.5,PINT,RD
15,SALAD,VARIOUS SALADS,SALAD,WALNUTS,1.00,TBSP,15.00,999,-984.00,NO,984,TBSP,RD
15,JUICE,VARIOUS SALADS,SALAD,LIME JUICE,1.00,TSP,15.00,999,-956.50,NO,956.5,TSP,RD